# FRQ	best_phase	best_amplitude	Capacitance
250	271.59375	0.0016709375	10.63340344
500	274.74375	0.003526875	11.18793612
750	277.7875	0.0053575	11.26411695
1000	280.275	0.00699875	10.96022231
1250	282.6925	0.008655	10.7505987
1500	285.4375	0.01023125	10.4640351
1750	287.9375	0.011969375	10.35651228
2000	290.6825	0.0135495	10.08744811
2250	293.2625	0.01513875	9.837930339
2500	295.9125	0.01682775	9.63583196
2750	298.61875	0.018477	9.387014171
3000	301.825	0.02012375	9.070982634
3250	303.8125	0.021825125	8.880204641
3500	306.40625	0.0233275	8.537366681
3750	309.15625	0.02499875	8.227123233
4000	311.575	0.026608125	7.920031947
4250	314.35	0.028224375	7.558088554
4500	316.91875	0.02996375	7.238467168
4750	319.54375	0.03158625	6.867211605
5000	322.0209375	0.0332125	6.505646568
