# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.000181	0.018203125	303.0625	1	100000	0.5	-2.87	0	0.0001092977	3250
0.0001825	0.018328125	303.0625	1	100000	0.5	-2.87	0	0.00010929301	3250
0.000182	0.018453125	303.0625	1	100000	0.5	-2.87	0	0.00010929474	3250
0.0001798	0.018578125	303.0625	1	100000	0.5	-2.87	0	0.000109290665	3250
0.000175	0.018703125	303.0625	1	100000	0.5	-2.87	0	0.00010928784	3250
0.000169	0.018828125	303.0625	1	100000	0.5	-2.87	0	0.000109288016	3250
0.0001622	0.018953125	303.0625	1	100000	0.5	-2.87	0	0.000109289755	3250
0.0001553	0.019078125	303.0625	1	100000	0.5	-2.87	0	0.000109288682	3250
0.0001489	0.019203125	303.0625	1	100000	0.5	-2.87	0	0.000109289138	3250
0.000142	0.019328125	303.0625	1	100000	0.5	-2.87	0	0.000109288214	3250
0.0001351	0.019453125	303.0625	1	100000	0.5	-2.87	0	0.000109290652	3250
0.0001286	0.019578125	303.0625	1	100000	0.5	-2.87	0	0.000109289358	3250
0.0001221	0.019703125	303.0625	1	100000	0.5	-2.87	0	0.000109290801	3250
0.0001156	0.019828125	303.0625	1	100000	0.5	-2.87	0	0.000109287607	3250
0.0001091	0.019953125	303.0625	1	100000	0.5	-2.87	0	0.000109291196	3250
0.0001024	0.020078125	303.0625	1	100000	0.5	-2.87	0	0.000109293314	3250
9.57e-05	0.020203125	303.0625	1	100000	0.5	-2.87	0	0.000109293193	3250
8.87e-05	0.020328125	303.0625	1	100000	0.5	-2.87	0	0.000109293671	3250
8.18e-05	0.020453125	303.0625	1	100000	0.5	-2.87	0	0.000109294115	3250
7.58e-05	0.020578125	303.0625	1	100000	0.5	-2.87	0	0.000109292753	3250
6.94e-05	0.020703125	303.0625	1	100000	0.5	-2.87	0	0.0001092963	3250
6.28e-05	0.020828125	303.0625	1	100000	0.5	-2.87	0	0.000109294419	3250
5.55e-05	0.020953125	303.0625	1	100000	0.5	-2.87	0	0.000109297104	3250
4.88e-05	0.021078125	303.0625	1	100000	0.5	-2.87	0	0.000109296252	3250
4.27e-05	0.021203125	303.0625	1	100000	0.5	-2.87	0	0.000109297321	3250
3.62e-05	0.021328125	303.0625	1	100000	0.5	-2.87	0	0.000109295135	3250
2.96e-05	0.021453125	303.0625	1	100000	0.5	-2.87	0	0.0001092944	3250
2.35e-05	0.021578125	303.0625	1	100000	0.5	-2.87	0	0.000109290866	3250
1.75e-05	0.021703125	303.0625	1	100000	0.5	-2.87	0	0.000109288831	3250
1.23e-05	0.021828125	303.0625	1	100000	0.5	-2.87	0	0.000109286801	3250
9.3e-06	0.021953125	303.0625	1	100000	0.5	-2.87	0	0.000109289438	3250
1.02e-05	0.022078125	303.0625	1	100000	0.5	-2.87	0	0.000109292407	3250
1.45e-05	0.022203125	303.0625	1	100000	0.5	-2.87	0	0.000109291222	3250
2.05e-05	0.022328125	303.0625	1	100000	0.5	-2.87	0	0.000109291185	3250
2.68e-05	0.022453125	303.0625	1	100000	0.5	-2.87	0	0.000109291212	3250
3.29e-05	0.022578125	303.0625	1	100000	0.5	-2.87	0	0.000109293027	3250
3.91e-05	0.022703125	303.0625	1	100000	0.5	-2.87	0	0.000109293724	3250
4.57e-05	0.022828125	303.0625	1	100000	0.5	-2.87	0	0.00010929234	3250
5.23e-05	0.022953125	303.0625	1	100000	0.5	-2.87	0	0.000109290071	3250
5.89e-05	0.023078125	303.0625	1	100000	0.5	-2.87	0	0.000109292353	3250
6.56e-05	0.023203125	303.0625	1	100000	0.5	-2.87	0	0.000109293425	3250
7.22e-05	0.023328125	303.0625	1	100000	0.5	-2.87	0	0.00010929172	3250
