# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.0008925	0.0075	135	1	100000	0.5	-2.87	0	0.000108939602	1370
0.000893	0.0075	137.8125	1	100000	0.5	-2.87	0	0.000108942783	1370
0.0008925	0.0075	140.625	1	100000	0.5	-2.87	0	0.000108940434	1370
0.000891	0.0075	143.4375	1	100000	0.5	-2.87	0	0.000108930698	1370
0.000888	0.0075	146.25	1	100000	0.5	-2.87	0	0.000108926694	1370
0.000883	0.0075	149.0625	1	100000	0.5	-2.87	0	0.000108941459	1370
0.000876	0.0075	151.875	1	100000	0.5	-2.87	0	0.000108943001	1370
0.0008685	0.0075	154.6875	1	100000	0.5	-2.87	0	0.00010891807	1370
0.0008595	0.0075	157.5	1	100000	0.5	-2.87	0	0.000108930545	1370
0.0008515	0.0075	160.3125	1	100000	0.5	-2.87	0	0.000108940158	1370
0.0008425	0.0075	163.125	1	100000	0.5	-2.87	0	0.000108939234	1370
0.0008325	0.0075	165.9375	1	100000	0.5	-2.87	0	0.000108922015	1370
0.000822	0.0075	168.75	1	100000	0.5	-2.87	0	0.000108937955	1370
0.000811	0.0075	171.5625	1	100000	0.5	-2.87	0	0.000108923396	1370
0.0008	0.0075	174.375	1	100000	0.5	-2.87	0	0.000108943795	1370
0.000789	0.0075	177.1875	1	100000	0.5	-2.87	0	0.0001089358	1370
0.0007775	0.0075	180	1	100000	0.5	-2.87	0	0.000108921533	1370
0.000765	0.0075	182.8125	1	100000	0.5	-2.87	0	0.000108932243	1370
0.0007525	0.0075	185.625	1	100000	0.5	-2.87	0	0.000108931102	1370
0.0007385	0.0075	188.4375	1	100000	0.5	-2.87	0	0.00010893761	1370
0.0007245	0.0075	191.25	1	100000	0.5	-2.87	0	0.000108923998	1370
0.00071	0.0075	194.0625	1	100000	0.5	-2.87	0	0.000108924271	1370
0.000696	0.0075	196.875	1	100000	0.5	-2.87	0	0.000108940018	1370
0.0006795	0.0075	199.6875	1	100000	0.5	-2.87	0	0.000108934502	1370
0.0006645	0.0075	202.5	1	100000	0.5	-2.87	0	0.000108936	1370
0.0006485	0.0075	205.3125	1	100000	0.5	-2.87	0	0.000108922094	1370
0.000632	0.0075	208.125	1	100000	0.5	-2.87	0	0.000108934565	1370
0.000616	0.0075	210.9375	1	100000	0.5	-2.87	0	0.000108922209	1370
0.0005995	0.0075	213.75	1	100000	0.5	-2.87	0	0.000108928963	1370
0.000582	0.0075	216.5625	1	100000	0.5	-2.87	0	0.000108924183	1370
0.0005645	0.0075	219.375	1	100000	0.5	-2.87	0	0.000108933814	1370
0.0005465	0.0075	222.1875	1	100000	0.5	-2.87	0	0.000108924275	1370
0.0005285	0.0075	225	1	100000	0.5	-2.87	0	0.000108922742	1370
0.00051	0.0075	227.8125	1	100000	0.5	-2.87	0	0.000108931099	1370
0.0004895	0.0075	230.625	1	100000	0.5	-2.87	0	0.000108924923	1370
0.0004705	0.0075	233.4375	1	100000	0.5	-2.87	0	0.000108930036	1370
0.0004515	0.0075	236.25	1	100000	0.5	-2.87	0	0.000108934281	1370
0.0004325	0.0075	239.0625	1	100000	0.5	-2.87	0	0.000108925923	1370
0.0004135	0.0075	241.875	1	100000	0.5	-2.87	0	0.000108929262	1370
0.0003935	0.0075	244.6875	1	100000	0.5	-2.87	0	0.000108933961	1370
0.0003735	0.0075	247.5	1	100000	0.5	-2.87	0	0.000108926502	1370
0.0003535	0.0075	250.3125	1	100000	0.5	-2.87	0	0.00010893009	1370
0.000333	0.0075	253.125	1	100000	0.5	-2.87	0	0.000108934468	1370
0.0003125	0.0075	255.9375	1	100000	0.5	-2.87	0	0.00010893229	1370
0.0002925	0.0075	258.75	1	100000	0.5	-2.87	0	0.000108932461	1370
0.00027	0.0075	261.5625	1	100000	0.5	-2.87	0	0.000108925837	1370
0.00025	0.0075	264.375	1	100000	0.5	-2.87	0	0.000108931466	1370
0.0002295	0.0075	267.1875	1	100000	0.5	-2.87	0	0.00010892841	1370
0.0002095	0.0075	270	1	100000	0.5	-2.87	0	0.00010892882	1370
0.0001905	0.0075	272.8125	1	100000	0.5	-2.87	0	0.000108931131	1370
0.0001715	0.0075	275.625	1	100000	0.5	-2.87	0	0.000108930748	1370
0.0001525	0.0075	278.4375	1	100000	0.5	-2.87	0	0.000108929465	1370
0.0001345	0.0075	281.25	1	100000	0.5	-2.87	0	0.000108930074	1370
0.0001185	0.0075	284.0625	1	100000	0.5	-2.87	0	0.00010892872	1370
0.0001055	0.0075	286.875	1	100000	0.5	-2.87	0	0.000108930319	1370
9.55e-05	0.0075	289.6875	1	100000	0.5	-2.87	0	0.000108930819	1370
8.95e-05	0.0075	292.5	1	100000	0.5	-2.87	0	0.000108926302	1370
9.05e-05	0.0075	295.3125	1	100000	0.5	-2.87	0	0.000108935153	1370
