# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.0005104	0	300.9375	1	100000	0.5	-2.87	0	0.000109001423	1385
0.0005126	0.00071875	300.9375	1	100000	0.5	-2.87	0	0.000109005548	1385
0.000512	0.0014375	300.9375	1	100000	0.5	-2.87	0	0.000108999104	1385
0.0005086	0.00215625	300.9375	1	100000	0.5	-2.87	0	0.000109008532	1385
0.000499	0.002875	300.9375	1	100000	0.5	-2.87	0	0.000109008488	1385
0.0004808	0.00359375	300.9375	1	100000	0.5	-2.87	0	0.000109009261	1385
0.0004532	0.0043125	300.9375	1	100000	0.5	-2.87	0	0.000109000225	1385
0.0004206	0.00503125	300.9375	1	100000	0.5	-2.87	0	0.000109008688	1385
0.0003854	0.00575	300.9375	1	100000	0.5	-2.87	0	0.000109004884	1385
0.0003496	0.00646875	300.9375	1	100000	0.5	-2.87	0	0.000109007947	1385
0.0003136	0.0071875	300.9375	1	100000	0.5	-2.87	0	0.000109004342	1385
0.000279	0.00790625	300.9375	1	100000	0.5	-2.87	0	0.000109003833	1385
0.0002454	0.008625	300.9375	1	100000	0.5	-2.87	0	0.000109004341	1385
0.0002152	0.00934375	300.9375	1	100000	0.5	-2.87	0	0.000109008519	1385
0.0001876	0.0100625	300.9375	1	100000	0.5	-2.87	0	0.000109004109	1385
0.0001664	0.01078125	300.9375	1	100000	0.5	-2.87	0	0.00010900792	1385
0.0001524	0.0115	300.9375	1	100000	0.5	-2.87	0	0.000109001934	1385
0.0001486	0.01221875	300.9375	1	100000	0.5	-2.87	0	0.00010900172	1385
0.0001552	0.0129375	300.9375	1	100000	0.5	-2.87	0	0.000109006209	1385
0.0001708	0.01365625	300.9375	1	100000	0.5	-2.87	0	0.000109001531	1385
0.0001946	0.014375	300.9375	1	100000	0.5	-2.87	0	0.000108998337	1385
0.0002228	0.01509375	300.9375	1	100000	0.5	-2.87	0	0.000109009012	1385
0.000254	0.0158125	300.9375	1	100000	0.5	-2.87	0	0.000108999451	1385
0.0002872	0.01653125	300.9375	1	100000	0.5	-2.87	0	0.000108999286	1385
0.000321	0.01725	300.9375	1	100000	0.5	-2.87	0	0.000109007408	1385
0.0003566	0.01796875	300.9375	1	100000	0.5	-2.87	0	0.000108997165	1385
0.0003936	0.0186875	300.9375	1	100000	0.5	-2.87	0	0.000109004521	1385
0.000432	0.01940625	300.9375	1	100000	0.5	-2.87	0	0.000109010597	1385
