# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.0054745	0.1	0	1	100000	0.5	-2.87	0	0.000108989026	1385
0.0054745	0.1	4.5	1	100000	0.5	-2.87	0	0.000109099953	1385
0.0054755	0.1	9	1	100000	0.5	-2.87	0	0.000109099593	1385
0.0054825	0.1	13.5	1	100000	0.5	-2.87	0	0.000109060389	1385
0.0055	0.1	18	1	100000	0.5	-2.87	0	0.000109011525	1385
0.005533	0.1	22.5	1	100000	0.5	-2.87	0	0.000109091647	1385
0.005572	0.1	27	1	100000	0.5	-2.87	0	0.000109043738	1385
0.0056125	0.1	31.5	1	100000	0.5	-2.87	0	0.000108978096	1385
0.0056525	0.1	36	1	100000	0.5	-2.87	0	0.000108971012	1385
0.0056915	0.1	40.5	1	100000	0.5	-2.87	0	0.000109051462	1385
0.0057285	0.1	45	1	100000	0.5	-2.87	0	0.000109101201	1385
0.005765	0.1	49.5	1	100000	0.5	-2.87	0	0.000108973829	1385
0.005801	0.1	54	1	100000	0.5	-2.87	0	0.000108960478	1385
0.0058345	0.1	58.5	1	100000	0.5	-2.87	0	0.00010903837	1385
0.005867	0.1	63	1	100000	0.5	-2.87	0	0.000109108985	1385
0.0058985	0.1	67.5	1	100000	0.5	-2.87	0	0.000109037851	1385
0.005926	0.1	72	1	100000	0.5	-2.87	0	0.000109004283	1385
0.0059545	0.1	76.5	1	100000	0.5	-2.87	0	0.000109067469	1385
0.0059805	0.1	81	1	100000	0.5	-2.87	0	0.000109072118	1385
0.0060025	0.1	85.5	1	100000	0.5	-2.87	0	0.000109089266	1385
0.006021	0.1	90	1	100000	0.5	-2.87	0	0.00010908721	1385
0.006036	0.1	94.5	1	100000	0.5	-2.87	0	0.000109115813	1385
0.006049	0.1	99	1	100000	0.5	-2.87	0	0.000109096854	1385
0.006059	0.1	103.5	1	100000	0.5	-2.87	0	0.000109105332	1385
0.0060665	0.1	108	1	100000	0.5	-2.87	0	0.000109039637	1385
0.00607	0.1	112.5	1	100000	0.5	-2.87	0	0.000109100108	1385
0.006072	0.1	117	1	100000	0.5	-2.87	0	0.000108987077	1385
0.0060705	0.1	121.5	1	100000	0.5	-2.87	0	0.000109039165	1385
