# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
2.436e-05	0.01356	288.82	1	100000	0.5	-2.87	0	0.000108876082	200
2.434e-05	0.01356	288.87	1	100000	0.5	-2.87	0	0.000108877396	200
2.476e-05	0.01356	288.92	1	100000	0.5	-2.87	0	0.000108878604	200
2.452e-05	0.01356	288.97	1	100000	0.5	-2.87	0	0.000108878979	200
2.382e-05	0.01356	289.02	1	100000	0.5	-2.87	0	0.000108877999	200
2.324e-05	0.01356	289.07	1	100000	0.5	-2.87	0	0.000108875412	200
2.266e-05	0.01356	289.12	1	100000	0.5	-2.87	0	0.000108877123	200
2.214e-05	0.01356	289.17	1	100000	0.5	-2.87	0	0.000108873991	200
2.16e-05	0.01356	289.22	1	100000	0.5	-2.87	0	0.000108869838	200
2.136e-05	0.01356	289.27	1	100000	0.5	-2.87	0	0.000108873103	200
2.062e-05	0.01356	289.32	1	100000	0.5	-2.87	0	0.000108872811	200
1.982e-05	0.01356	289.37	1	100000	0.5	-2.87	0	0.000108872797	200
1.944e-05	0.01356	289.42	1	100000	0.5	-2.87	0	0.000108873838	200
1.902e-05	0.01356	289.47	1	100000	0.5	-2.87	0	0.000108873918	200
1.848e-05	0.01356	289.52	1	100000	0.5	-2.87	0	0.000108871594	200
1.774e-05	0.01356	289.57	1	100000	0.5	-2.87	0	0.000108873427	200
1.746e-05	0.01356	289.62	1	100000	0.5	-2.87	0	0.000108873321	200
1.724e-05	0.01356	289.67	1	100000	0.5	-2.87	0	0.000108872909	200
1.648e-05	0.01356	289.72	1	100000	0.5	-2.87	0	0.000108891449	200
1.564e-05	0.01356	289.77	1	100000	0.5	-2.87	0	0.000108882707	200
1.55e-05	0.01356	289.82	1	100000	0.5	-2.87	0	0.000108881732	200
1.526e-05	0.01356	289.87	1	100000	0.5	-2.87	0	0.000108889333	200
1.484e-05	0.01356	289.92	1	100000	0.5	-2.87	0	0.000108902162	200
1.452e-05	0.01356	289.97	1	100000	0.5	-2.87	0	0.000108877635	200
1.432e-05	0.01356	290.02	1	100000	0.5	-2.87	0	0.000108880747	200
1.382e-05	0.01356	290.07	1	100000	0.5	-2.87	0	0.000108881268	200
1.372e-05	0.01356	290.12	1	100000	0.5	-2.87	0	0.000108877853	200
1.384e-05	0.01356	290.17	1	100000	0.5	-2.87	0	0.00010887943	200
1.338e-05	0.01356	290.22	1	100000	0.5	-2.87	0	0.000108875121	200
1.32e-05	0.01356	290.27	1	100000	0.5	-2.87	0	0.000108876531	200
1.276e-05	0.01356	290.32	1	100000	0.5	-2.87	0	0.000108875289	200
1.238e-05	0.01356	290.37	1	100000	0.5	-2.87	0	0.000108872279	200
1.184e-05	0.01356	290.42	1	100000	0.5	-2.87	0	0.000108873837	200
