# U_ac_out	U_osc_ref	Pha_ref	U_osc_dut	R_ref	V_DS	V_GS	V_DUT	I_D	FRQ
0.0002504	0.00886	291.32	1	100000	0.5	-2.87	0	0.000108854345	200
0.0002504	0.00896	291.32	1	100000	0.5	-2.87	0	0.000108856376	200
0.0002488	0.00906	291.32	1	100000	0.5	-2.87	0	0.000108853915	200
0.000244	0.00916	291.32	1	100000	0.5	-2.87	0	0.000108854497	200
0.0002373	0.00926	291.32	1	100000	0.5	-2.87	0	0.00010885571	200
0.0002305	0.00936	291.32	1	100000	0.5	-2.87	0	0.000108855298	200
0.0002248	0.00946	291.32	1	100000	0.5	-2.87	0	0.000108876825	200
0.0002219	0.00956	291.32	1	100000	0.5	-2.87	0	0.000108855266	200
0.0002168	0.00966	291.32	1	100000	0.5	-2.87	0	0.000108852347	200
0.0002105	0.00976	291.32	1	100000	0.5	-2.87	0	0.000108855463	200
0.0002039	0.00986	291.32	1	100000	0.5	-2.87	0	0.00010884989	200
0.0001978	0.00996	291.32	1	100000	0.5	-2.87	0	0.000108850791	200
0.0001943	0.01006	291.32	1	100000	0.5	-2.87	0	0.000108850445	200
0.0001891	0.01016	291.32	1	100000	0.5	-2.87	0	0.000108881341	200
0.0001827	0.01026	291.32	1	100000	0.5	-2.87	0	0.000108850397	200
0.000176	0.01036	291.32	1	100000	0.5	-2.87	0	0.000108851071	200
0.0001702	0.01046	291.32	1	100000	0.5	-2.87	0	0.000108850767	200
0.0001666	0.01056	291.32	1	100000	0.5	-2.87	0	0.000108847615	200
0.0001618	0.01066	291.32	1	100000	0.5	-2.87	0	0.000108850482	200
0.000155	0.01076	291.32	1	100000	0.5	-2.87	0	0.00010884666	200
0.0001484	0.01086	291.32	1	100000	0.5	-2.87	0	0.000108847515	200
0.0001427	0.01096	291.32	1	100000	0.5	-2.87	0	0.000108848034	200
0.0001394	0.01106	291.32	1	100000	0.5	-2.87	0	0.000108847682	200
0.0001346	0.01116	291.32	1	100000	0.5	-2.87	0	0.000108854377	200
0.0001282	0.01126	291.32	1	100000	0.5	-2.87	0	0.000108847474	200
0.0001209	0.01136	291.32	1	100000	0.5	-2.87	0	0.000108844967	200
0.0001149	0.01146	291.32	1	100000	0.5	-2.87	0	0.00010884796	200
0.0001119	0.01156	291.32	1	100000	0.5	-2.87	0	0.000108848063	200
0.0001071	0.01166	291.32	1	100000	0.5	-2.87	0	0.000108843231	200
0.0001003	0.01176	291.32	1	100000	0.5	-2.87	0	0.000108846436	200
9.35e-05	0.01186	291.32	1	100000	0.5	-2.87	0	0.000108842301	200
8.77e-05	0.01196	291.32	1	100000	0.5	-2.87	0	0.000108845112	200
8.43e-05	0.01206	291.32	1	100000	0.5	-2.87	0	0.000108843762	200
7.9e-05	0.01216	291.32	1	100000	0.5	-2.87	0	0.000108845496	200
7.2e-05	0.01226	291.32	1	100000	0.5	-2.87	0	0.000108848768	200
6.54e-05	0.01236	291.32	1	100000	0.5	-2.87	0	0.000108846336	200
5.98e-05	0.01246	291.32	1	100000	0.5	-2.87	0	0.000108848992	200
5.66e-05	0.01256	291.32	1	100000	0.5	-2.87	0	0.000108871958	200
5.14e-05	0.01266	291.32	1	100000	0.5	-2.87	0	0.000108861725	200
4.49e-05	0.01276	291.32	1	100000	0.5	-2.87	0	0.000108847312	200
3.88e-05	0.01286	291.32	1	100000	0.5	-2.87	0	0.000108850523	200
3.3e-05	0.01296	291.32	1	100000	0.5	-2.87	0	0.000108845055	200
2.96e-05	0.01306	291.32	1	100000	0.5	-2.87	0	0.000108846771	200
2.48e-05	0.01316	291.32	1	100000	0.5	-2.87	0	0.000108843973	200
1.94e-05	0.01326	291.32	1	100000	0.5	-2.87	0	0.000108843897	200
1.41e-05	0.01336	291.32	1	100000	0.5	-2.87	0	0.000108844305	200
1.12e-05	0.01346	291.32	1	100000	0.5	-2.87	0	0.000108848978	200
1.03e-05	0.01356	291.32	1	100000	0.5	-2.87	0	0.000108843233	200
1.11e-05	0.01366	291.32	1	100000	0.5	-2.87	0	0.000108843003	200
1.5e-05	0.01376	291.32	1	100000	0.5	-2.87	0	0.000108842504	200
2.09e-05	0.01386	291.32	1	100000	0.5	-2.87	0	0.000108844359	200
2.62e-05	0.01396	291.32	1	100000	0.5	-2.87	0	0.00010884731	200
2.86e-05	0.01406	291.32	1	100000	0.5	-2.87	0	0.000108843765	200
3.34e-05	0.01416	291.32	1	100000	0.5	-2.87	0	0.000108844049	200
4.05e-05	0.01426	291.32	1	100000	0.5	-2.87	0	0.000108849143	200
4.68e-05	0.01436	291.32	1	100000	0.5	-2.87	0	0.000108853315	200
5.23e-05	0.01446	291.32	1	100000	0.5	-2.87	0	0.000108851891	200
5.54e-05	0.01456	291.32	1	100000	0.5	-2.87	0	0.000108846309	200
6.01e-05	0.01466	291.32	1	100000	0.5	-2.87	0	0.000108848442	200
6.71e-05	0.01476	291.32	1	100000	0.5	-2.87	0	0.00010886153	200
7.38e-05	0.01486	291.32	1	100000	0.5	-2.87	0	0.000108849055	200
7.96e-05	0.01496	291.32	1	100000	0.5	-2.87	0	0.00010884906	200
8.26e-05	0.01506	291.32	1	100000	0.5	-2.87	0	0.000108850651	200
8.7e-05	0.01516	291.32	1	100000	0.5	-2.87	0	0.000108853168	200
9.34e-05	0.01526	291.32	1	100000	0.5	-2.87	0	0.000108855466	200
0.0001005	0.01536	291.32	1	100000	0.5	-2.87	0	0.000108857767	200
0.0001068	0.01546	291.32	1	100000	0.5	-2.87	0	0.000108858405	200
0.0001104	0.01556	291.32	1	100000	0.5	-2.87	0	0.000108852127	200
0.0001152	0.01566	291.32	1	100000	0.5	-2.87	0	0.000108858935	200
0.0001214	0.01576	291.32	1	100000	0.5	-2.87	0	0.000108851012	200
0.0001284	0.01586	291.32	1	100000	0.5	-2.87	0	0.000108853744	200
0.0001349	0.01596	291.32	1	100000	0.5	-2.87	0	0.000108852891	200
